CVE,New CWE,Reasoning
CVE-2022-42898,CWE-190,"(Chains: CWE-190->CWE-122) ""integer overflows ... resultant heap-based buffer overflow"" in description"
CVE-2022-42898,CWE-122,"(Chains: CWE-190->CWE-122) ""integer overflows ... resultant heap-based buffer overflow"" in description"
CVE-2022-4291,CWE-122,"""heap corruption vulnerability"" in description and ref https://support.norton.com/sp/static/external/tools/security-advisories.html."
CVE-2022-42932,CWE-787,"""memory safety bugs ... showed evidence of memory corruption"" in description and ""buffer overrun"" in ref https://bugzilla.mozilla.org/buglist.cgi?bug_id=1789729%2C1791363%2C1792041"
CVE-2022-43581,CWE-862,"""vulnerable to missing authorization"" in description and ref https://www.ibm.com/support/pages/node/6844453"
CVE-2022-43606,CWE-824,"""use-of-uninitialized-pointer vulnerability"" in description and ref https://talosintelligence.com/vulnerability_reports/TALOS-2022-1663"
CVE-2022-43663,CWE-195,"(Chains: CWE-195->CWE-119) Desc mentions ""integer conversion vulnerability exists...can lead to a buffer overflow""."
CVE-2022-43663,CWE-119,"(Chains: CWE-195->CWE-119) Desc mentions ""integer conversion vulnerability exists...can lead to a buffer overflow""."
CVE-2022-44032,CWE-362,"(Chains: CWE-362->CWE-416) Desc mentions ""race condition and resultant use-after-free"""
CVE-2022-44032,CWE-416,"(Chains: CWE-362->CWE-416) Desc mentions ""race condition and resultant use-after-free"""
CVE-2022-44033,CWE-362,"(Chains: CWE-362->CWE-416) Desc mentions ""race condition and resultant use-after-free"""
CVE-2022-44033,CWE-416,"(Chains: CWE-362->CWE-416) Desc mentions ""race condition and resultant use-after-free"""
CVE-2022-44034,CWE-362,"(Chains: CWE-362->CWE-416) Desc mentions ""race condition and resultant use-after-free"""
CVE-2022-44034,CWE-416,"(Chains: CWE-362->CWE-416) Desc mentions ""race condition and resultant use-after-free"""
CVE-2022-4436,CWE-416,"Desc mentions ""Use after free"""
CVE-2022-4437,CWE-416,"Desc mentions ""Use after free"""
CVE-2022-4438,CWE-416,"Desc mentions ""Use after free"""
CVE-2022-4439,CWE-416,"Desc mentions ""Use after free"""
CVE-2022-4440,CWE-416,"Desc mentions ""Use after free"""
CVE-2022-44550,CWE-416,"Desc mentions ""UAF vulnerability"""
CVE-2022-44638,CWE-190,"(Chains: CWE-190->CWE-122) Desc mentions ""heap-based buffer overflow...due to an integer overflow"""
CVE-2022-44638,CWE-122,"(Chains: CWE-190->CWE-122) Desc mentions ""heap-based buffer overflow...due to an integer overflow"""
CVE-2022-44789,CWE-787,"Desc mentions ""memory corruption"""
CVE-2022-45406,CWE-416,"desc and Mozilla security advisory ref mention ""use-after-free"""
CVE-2022-45421,CWE-787,"Desc mentions ""evidence of memory corruption"""
CVE-2022-45869,CWE-362,"""race condition"" in description and ref https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=47b0c2e4c220f2251fd8dcfbb44479819c715e15"
CVE-2022-46152,CWE-129,"(Chains: CWE-129->CWE-125) ""Improper Validation of Array Index vulnerability ... cause out-of-bounds reading"" in description and ref https://github.com/OP-TEE/optee_os/security/advisories/GHSA-65w8-6mrg-52g7."
CVE-2022-46152,CWE-125,"(Chains: CWE-129->CWE-125) ""Improper Validation of Array Index vulnerability ... cause out-of-bounds reading"" in description and ref https://github.com/OP-TEE/optee_os/security/advisories/GHSA-65w8-6mrg-52g7."
CVE-2022-46597,CWE-78,"""command injection vulnerability"" in description and ref https://brief-nymphea-813.notion.site/Vul1-TEW755-command-injection-setup_wizard_mydlink-dccea20f75e04110878213126612feba code uses a ""system"" call, which indicates OS."
CVE-2022-46598,CWE-78,"""command injection vulnerability"" in description and ref https://brief-nymphea-813.notion.site/Vul3-TEW755-injection-set_sta_enrollee_pin_5g-b903e73d59b940c8a79bf4425dfdf992 code uses a ""system"" call, which indicates OS."
CVE-2022-46878,CWE-787,"""memory safety bugs ... showed evidence of memory corruption"" in description and ref https://www.mozilla.org/security/advisories/mfsa2022-51/"
CVE-2022-46879,CWE-787,"""memory safety bugs ... showed evidence of memory corruption"" in description and ref https://www.mozilla.org/security/advisories/mfsa2022-51/"
CVE-2022-46881,CWE-124,"""stack-buffer-underflow"" in ref https://bugzilla.mozilla.org/show_bug.cgi?id=1770930"
CVE-2022-46883,CWE-787,"""memory safety bugs ... showed evidence of memory corruption"" in description and ref https://www.mozilla.org/security/advisories/mfsa2022-47/"
CVE-2022-47662,CWE-674,"""infinite recursion"" in description and ref https://github.com/gpac/gpac/issues/2359"
CVE-2022-47935,CWE-787,"""memory corruption vulnerability"" in description and ref https://cert-portal.siemens.com/productcert/pdf/ssa-936212.pdf"
CVE-2022-47967,CWE-787,"""memory corruption vulnerability"" in description and ref https://cert-portal.siemens.com/productcert/pdf/ssa-997779.pdf"
CVE-2022-47977,CWE-787,"""memory corruption vulnerability"" in description and ref https://cert-portal.siemens.com/productcert/pdf/ssa-836777.pdf"
CVE-2022-48303,CWE-125,"(Chains: CWE-125->CWE-908) ""out-of-bounds read ... results in use of uninitialized memory"" in description"
CVE-2022-48303,CWE-908,"(Chains: CWE-125->CWE-908) ""out-of-bounds read ... results in use of uninitialized memory"" in description"
CVE-2022-48423,CWE-20,"(Chains: CWE-20->CWE-787) ""does not validate resident attribute names ... out-of-bounds write may occur"" in description"
CVE-2022-48423,CWE-787,"(Chains: CWE-20->CWE-787) ""does not validate resident attribute names ... out-of-bounds write may occur"" in description"
CVE-2022-4904,CWE-1284,"(Chains: CWE-1284->CWE-119) ""missing checks ... validity of the input ... allows a possible arbitrary length stack overflow"" in description. https://github.com/hopper-vul/c-ares/commit/ac596026e77244481fd68736ae7f15855803a08a says ""Add str len check"""
CVE-2022-4904,CWE-119,"(Chains: CWE-1284->CWE-119) ""missing checks ... validity of the input ... allows a possible arbitrary length stack overflow"" in description. https://github.com/hopper-vul/c-ares/commit/ac596026e77244481fd68736ae7f15855803a08a says ""Add str len check"""
CVE-2022-40304,CWE-415,"611 is not applicable. From CM: https://gitlab.gnome.org/GNOME/libxml2/-/commit/1b41ec4e9433b05bb0376be4725804c54ef1d80b shows a diff with changes handling for frees and also has ""double-frees""."
CVE-2022-32522,CWE-120,"""stack-based buffer overflow"" on desc. However, since the vendor maps to CWE-120 and desc. also states ""CWE-120: Buffer Copy without Checking Size of Input"", CWE-120 is selected."
CVE-2022-32523,CWE-120,"""stack-based buffer overflow"" on desc. However, since the vendor maps to CWE-120 and desc. also states ""CWE-120: Buffer Copy without Checking Size of Input"", CWE-120 is selected."
CVE-2022-32524,CWE-120,"""stack-based buffer overflow"" on desc. However, since the vendor maps to CWE-120 and desc. also states ""CWE-120: Buffer Copy without Checking Size of Input"", CWE-120 is selected."
CVE-2022-32525,CWE-120,"""stack-based buffer overflow"" on desc. However, since the vendor maps to CWE-120 and desc. also states ""CWE-120: Buffer Copy without Checking Size of Input"", CWE-120 is selected."
CVE-2022-32526,CWE-120,"""stack-based buffer overflow"" on desc. However, since the vendor maps to CWE-120 and desc. also states ""CWE-120: Buffer Copy without Checking Size of Input"", CWE-120 is selected."
CVE-2021-3442,CWE-20,"(Chains: CWE-20->CWE-134, CWE-20->CWE-79) ""user input is not validated"" [CWE-20]...""leading to a XSS [CWE-79]"" in description. In references: ""its possible to inject scripts into text box"" [likely referring to CWE-134]. Note: access.redhat.com ref says ""CWE-20->CWE-134"", so combining all the information leads to the mapping chosen."
CVE-2021-3442,CWE-134,"(Chains: CWE-20->CWE-134, CWE-20->CWE-79) ""user input is not validated"" [CWE-20]...""leading to a XSS [CWE-79]"" in description. In references: ""its possible to inject scripts into text box"" [likely referring to CWE-134]. Note: access.redhat.com ref says ""CWE-20->CWE-134"", so combining all the information leads to the mapping chosen."
CVE-2021-3442,CWE-79,"(Chains: CWE-20->CWE-134, CWE-20->CWE-79) ""user input is not validated"" [CWE-20]...""leading to a XSS [CWE-79]"" in description. In references: ""its possible to inject scripts into text box"" [likely referring to CWE-134]. Note: access.redhat.com ref says ""CWE-20->CWE-134"", so combining all the information leads to the mapping chosen."
CVE-2021-44532,CWE-115,"(Chains: CWE-115->CWE-296) hackerone ref says ""The text representation... has no well-defined grammar and does not even escape characters, so the output is ambiguous. It should not be parsed... [but] Node tries to parse this output to interpret the certificate itself."" Research: misinterpretation of input / inaccurate parsing."
CVE-2021-44532,CWE-296,"(Chains: CWE-115->CWE-296) hackerone ref says ""The text representation... has no well-defined grammar and does not even escape characters, so the output is ambiguous. It should not be parsed... [but] Node tries to parse this output to interpret the certificate itself."" Research: misinterpretation of input / inaccurate parsing."
CVE-2021-44532,CWE-116,"(Chains: CWE-115->CWE-296) hackerone ref says ""The text representation... has no well-defined grammar and does not even escape characters, so the output is ambiguous. It should not be parsed... [but] Node tries to parse this output to interpret the certificate itself."" Research: misinterpretation of input / inaccurate parsing."
CVE-2021-44532,CWE-RESEARCH,"(Chains: CWE-115->CWE-296) hackerone ref says ""The text representation... has no well-defined grammar and does not even escape characters, so the output is ambiguous. It should not be parsed... [but] Node tries to parse this output to interpret the certificate itself."" Research: misinterpretation of input / inaccurate parsing."
CVE-2021-1942,CWE-787,"desc says ""memory corruption"" indicating CWE-787. Root cause could be ""Improper handling of permissions"" but this is vague."
CVE-2021-1942,UNSURE,"desc says ""memory corruption"" indicating CWE-787. Root cause could be ""Improper handling of permissions"" but this is vague."
CVE-2021-21906,CWE-20,"(Chains: CWE-20->CWE-121) Desc: ""Stack-based buffer overflow"" and https://talosintelligence.com/vulnerability_reports/TALOS-2021-1357 -- maps to CWE-121 and states ""copy, byte by byte,...the contents of the file into the buffer, without any bounds checking""."
CVE-2021-21906,CWE-121,"(Chains: CWE-20->CWE-121) Desc: ""Stack-based buffer overflow"" and https://talosintelligence.com/vulnerability_reports/TALOS-2021-1357 -- maps to CWE-121 and states ""copy, byte by byte,...the contents of the file into the buffer, without any bounds checking""."
CVE-2021-21958,CWE-122,"Desc: ""heap-based buffer overflow"" and https://talosintelligence.com/vulnerability_reports/TALOS-2021-1386 maps to CWE-122."
CVE-2022-32609,CWE-662,"(Chains: CWE-662->CWE-416) Reference states, ""Improper synchronization in vcu"" and maps to CWE-662. Although in the description, it states, ""use after free due to a race condition"", that appears to be a generic description for thread related CVEs from this vendor."
CVE-2022-32609,CWE-416,"(Chains: CWE-662->CWE-416) Reference states, ""Improper synchronization in vcu"" and maps to CWE-662. Although in the description, it states, ""use after free due to a race condition"", that appears to be a generic description for thread related CVEs from this vendor."
CVE-2022-32610,CWE-662,"(Chains: CWE-662->CWE-416) Reference states, ""Improper synchronization in vcu"" and maps to CWE-662. Although in the description, it states, ""use after free due to a race condition"", that appears to be a generic description for thread related CVEs from this vendor."
CVE-2022-32610,CWE-416,"(Chains: CWE-662->CWE-416) Reference states, ""Improper synchronization in vcu"" and maps to CWE-662. Although in the description, it states, ""use after free due to a race condition"", that appears to be a generic description for thread related CVEs from this vendor."
CVE-2022-32612,CWE-362,"(Chains: CWE-362->CWE-416) Reference states, ""Concurrent execution using shared resource with improper synchronization ('race condition') in vcu"" but maps to CWE-662 (which is incorrect). ""use after free due to a race condition"" in desc."
CVE-2022-32612,CWE-416,"(Chains: CWE-362->CWE-416) Reference states, ""Concurrent execution using shared resource with improper synchronization ('race condition') in vcu"" but maps to CWE-662 (which is incorrect). ""use after free due to a race condition"" in desc."
CVE-2022-32613,CWE-362,"(Chains: CWE-362->CWE-416) Reference states, ""Concurrent execution using shared resource with improper synchronization ('race condition') in vcu"" but maps to CWE-662 (which is incorrect). ""use after free due to a race condition"" in desc."
CVE-2022-32613,CWE-416,"(Chains: CWE-362->CWE-416) Reference states, ""Concurrent execution using shared resource with improper synchronization ('race condition') in vcu"" but maps to CWE-662 (which is incorrect). ""use after free due to a race condition"" in desc."
CVE-2022-32642,CWE-662,"(Chains: CWE-662->CWE-787) ""Improper synchronization in ccd"" and ""there is a possible memory corruption due to a race condition."""
CVE-2022-32642,CWE-787,"(Chains: CWE-662->CWE-787) ""Improper synchronization in ccd"" and ""there is a possible memory corruption due to a race condition."""
CVE-2022-32643,CWE-662,"(Chains: CWE-662->CWE-416) ""there is a possible use after free due to a race condition"" and reference states ""Improper synchronization in ccd"" and maps to CWE-662."
CVE-2022-32643,CWE-416,"(Chains: CWE-662->CWE-416) ""there is a possible use after free due to a race condition"" and reference states ""Improper synchronization in ccd"" and maps to CWE-662."
CVE-2022-32644,CWE-662,"(Chains: CWE-662->CWE-416) ""there is a possible use after free due to a race condition"" and reference states ""Improper synchronization in ccd"" and maps to CWE-662."
CVE-2022-32644,CWE-416,"(Chains: CWE-662->CWE-416) ""there is a possible use after free due to a race condition"" and reference states ""Improper synchronization in ccd"" and maps to CWE-662."
CVE-2022-32648,CWE-662,"(Chains: CWE-662->CWE-416) ""there is a possible use after free due to a race condition"" and reference states ""Improper synchronization in disp"" and maps to CWE-662."
CVE-2022-32648,CWE-416,"(Chains: CWE-662->CWE-416) ""there is a possible use after free due to a race condition"" and reference states ""Improper synchronization in disp"" and maps to CWE-662."
CVE-2022-42775,CWE-667,"(Chains: CWE-667->CWE-125) ""possible memory corruption due to improper locking"" in description and ""Out-of-bounds read"" in ref https://www.unisoc.com/en_us/secy/announcementDetail/1599588060988411006. In this case memory corruption is due to CWE-125 and not CWE-787."
CVE-2022-42775,CWE-125,"(Chains: CWE-667->CWE-125) ""possible memory corruption due to improper locking"" in description and ""Out-of-bounds read"" in ref https://www.unisoc.com/en_us/secy/announcementDetail/1599588060988411006. In this case memory corruption is due to CWE-125 and not CWE-787."
CVE-2022-42901,CWE-125,"""out-of-bounds and stack overflow issues"". Ref leads to a 404 error."
CVE-2022-42901,CWE-121,"""out-of-bounds and stack overflow issues"". Ref leads to a 404 error."
CVE-2022-42928,CWE-476,"""Nullptr dereference"" in ref https://bugzilla.mozilla.org/show_bug.cgi?id=1791520. Memory corruption occurs due to CWE-476."
CVE-2022-4338,CWE-191,"https://github.com/openvswitch/ovs/pull/405 says ""add length check...avoid out-of-bounds read/integer underflow"""
CVE-2022-4338,CWE-125,"https://github.com/openvswitch/ovs/pull/405 says ""add length check...avoid out-of-bounds read/integer underflow"""
CVE-2022-37434,CWE-122,"""heap-based buffer over-read or buffer overflow"" in description. https://github.com/madler/zlib/commit/eff308af425b67093bab25f80f1ae950166bece1 -- ""extra field was larger than the space the user provided...buffer overflow."
CVE-2022-46393,CWE-122,"""heap-based buffer overflow and heap-based buffer over-read"" in description. Refs. don't provide any additional info so there is no way to distinguish between the two. Mapping to both."
CVE-2022-46393,CWE-126,"""heap-based buffer overflow and heap-based buffer over-read"" in description. Refs. don't provide any additional info so there is no way to distinguish between the two. Mapping to both."
CVE-2022-47517,CWE-193,"(Chains: CWE-193->CWE-126) ""heap-based buffer over-read because of an off-by-one error"" in description."
CVE-2022-47517,CWE-126,"(Chains: CWE-193->CWE-126) ""heap-based buffer over-read because of an off-by-one error"" in description."
CVE-2022-27255,CWE-676,"(Chains: CWE-676->CWE-121, CWE-20->CWE-121) Description says ""stack-based buffer overflow"". https://www.realtek.com/images/safe-report/Realtek_APRouter_SDK_Advisory-CVE-2022-27255.pdf says ""The root cause of the vulnerability is insufficient validation on the received buffer, and unsafe calls to strcpy."""
CVE-2022-27255,CWE-121,"(Chains: CWE-676->CWE-121, CWE-20->CWE-121) Description says ""stack-based buffer overflow"". https://www.realtek.com/images/safe-report/Realtek_APRouter_SDK_Advisory-CVE-2022-27255.pdf says ""The root cause of the vulnerability is insufficient validation on the received buffer, and unsafe calls to strcpy."""
CVE-2022-27255,CWE-20,"(Chains: CWE-676->CWE-121, CWE-20->CWE-121) Description says ""stack-based buffer overflow"". https://www.realtek.com/images/safe-report/Realtek_APRouter_SDK_Advisory-CVE-2022-27255.pdf says ""The root cause of the vulnerability is insufficient validation on the received buffer, and unsafe calls to strcpy."""
CVE-2022-2742,CWE-366,"(Chains: CWE-366->CWE-416) https://crbug.com/1319172 has a stack trace showing free call in one thread and a ""AddressSanitizer: heap-use-after-free"" in another."
CVE-2022-2742,CWE-416,"(Chains: CWE-366->CWE-416) https://crbug.com/1319172 has a stack trace showing free call in one thread and a ""AddressSanitizer: heap-use-after-free"" in another."
CVE-2022-27940,CWE-126,"https://github.com/appneta/tcpreplay/issues/718 shows a stack trace ending with ""AddressSanitizer: heap-buffer-overflow on ... READ""."
CVE-2022-27941,CWE-126,"https://github.com/appneta/tcpreplay/issues/716 shows a stack trace ending with ""AddressSanitizer: heap-buffer-overflow on ... READ""."
CVE-2022-27942,CWE-126,"https://github.com/appneta/tcpreplay/issues/719 shows a stack trace ending with ""AddressSanitizer: heap-buffer-overflow on ... READ""."
CVE-2022-2854,CWE-366,"(Chains: CWE-366->CWE-416) https://crbug.com/1337538 stack trace shows one thread frees a resource and the other thread encounter ""AddressSanitizer: heap-use-after-free""."
CVE-2022-2854,CWE-416,"(Chains: CWE-366->CWE-416) https://crbug.com/1337538 stack trace shows one thread frees a resource and the other thread encounter ""AddressSanitizer: heap-use-after-free""."
CVE-2022-29228,CWE-416,"(Chains: CWE-416->CWE-617) https://github.com/envoyproxy/envoy/security/advisories/GHSA-rww6-8h7g-8jf6 asserts CWE-416. Results are ""triggers an ASSERT() in newer versions and corrupts memory on earlier versions."""
CVE-2022-29228,CWE-617,"(Chains: CWE-416->CWE-617) https://github.com/envoyproxy/envoy/security/advisories/GHSA-rww6-8h7g-8jf6 asserts CWE-416. Results are ""triggers an ASSERT() in newer versions and corrupts memory on earlier versions."""
CVE-2022-25658,CWE-822,"""Memory corruption due to incorrect pointer arithmetic"" in reference description and reference maps to CWE-822 for ""Untrusted Pointer Dereference""."
CVE-2022-25681,CWE-284,"""Possible memory corruption"" in description. However vendor maps to CWE-284, so going with that."
CVE-2022-25721,CWE-843,"(Chains: CWE-843->CWE-787) ""Memory corruption...due to type confusion"" in description. Vendor maps to CWE-704, which is a parent of CWE-843."
CVE-2022-25721,CWE-787,"(Chains: CWE-843->CWE-787) ""Memory corruption...due to type confusion"" in description. Vendor maps to CWE-704, which is a parent of CWE-843."
CVE-2022-22612,CWE-122,"Desc mentions ""lead to heap corruption"". No further details available so based on the information available CWE-122 is the best match."
CVE-2022-2295,CWE-843,"Desc says ""Type confusion...exploit heap corruption""."
CVE-2022-23318,CWE-122,"Desc mentions ""heap-buffer-overflow...out-of-bound read"". https://github.com/ganaware/pcf2bdf -- makes it clear that it is ""heap buffer overflow"""
CVE-2022-23459,CWE-416,"Desc says ""lead to memory corruption via a double free or via a use after free."" Memory corruption is due to CWE-415 and CWE-416."
CVE-2022-23459,CWE-415,"Desc says ""lead to memory corruption via a double free or via a use after free."" Memory corruption is due to CWE-415 and CWE-416."
CVE-2022-23460,CWE-674,"Desc mentions ""stack exhaustion"" but NVD Provider maps to CWE-121. GHSL-2022-049_Jsonxx ref shows ""stack-overflow"" from ASAN, which occurs when the stack is fully exhausted, but the ref does not clarify if the stack exhaustion was from excessive recursion or another weakness such as allocating too much stack memory."
CVE-2021-41837,CWE-822,"Desc contains ""Untrusted Pointer Dereference that causes ... memory corruption"""
CVE-2021-41839,CWE-822,"Desc contains ""Untrusted Pointer Dereference that causes ... memory corruption"""
CVE-2022-3461,CWE-119,"Desc: ""heap buffer overflow and a read access violation"". However vendor maps to CWE-119, so going with vendor's mapping."
CVE-2022-34918,CWE-843,"(Chains: CWE-843->CWE-119) Desc: ""A type confusion bug ... (leading to a buffer overflow)"". Kernel Org ML Ref: ""if the data type is `NFT_DATA_VERDICT`, the comparison between `desc->len` and `set->dlen` is not done"""
CVE-2022-34918,CWE-119,"(Chains: CWE-843->CWE-119) Desc: ""A type confusion bug ... (leading to a buffer overflow)"". Kernel Org ML Ref: ""if the data type is `NFT_DATA_VERDICT`, the comparison between `desc->len` and `set->dlen` is not done"""
CVE-2022-3652,CWE-843,"Desc mentions ""Type confusion""."
CVE-2022-36354,CWE-193,"(Chains: CWE-193->CWE-125) Desc: ""heap out-of-bounds read"". Ref Desc: ""we end up with an off-by-one condition ... we are actually reading out of bounds, which results in us writing heap data into our output buffer ... """
CVE-2022-36354,CWE-125,"(Chains: CWE-193->CWE-125) Desc: ""heap out-of-bounds read"". Ref Desc: ""we end up with an off-by-one condition ... we are actually reading out of bounds, which results in us writing heap data into our output buffer ... """
CVE-2022-35506,CWE-121,"ref says ""segmentation fault... stack overflow"" and shows a strcat() call using arbitrary contents from a pipe."
CVE-2022-35557,CWE-122,"""stack overflow"" and ref shows the nptr variable being copied using sprintf."
CVE-2022-35558,CWE-121,"desc says ""stack overflow"" and ref shows an image of external input to sprintf()."
CVE-2022-35559,CWE-121,"desc says ""stack overflow"" and ref shows an image of external input to sprintf()"
CVE-2022-35560,CWE-121,"desc says ""stack overflow"" and ref shows an image of external input to sprintf()."
CVE-2022-35561,CWE-121,"desc says ""stack overflow"" and ref shows an image of external input to sprintf()."
CVE-2022-3370,CWE-416,"desc/ref says ""Use after free"" and crbug ref says ""use-after-poison""."
CVE-2022-3049,CWE-366,"(Chains: CWE-366->CWE-416) https://crbug.com/1316892 stack trace shows resource freed in one thread and a different thread encountering ""AddressSanitizer: heap-use-after-free"" for that resource."
CVE-2022-3049,CWE-416,"(Chains: CWE-366->CWE-416) https://crbug.com/1316892 stack trace shows resource freed in one thread and a different thread encountering ""AddressSanitizer: heap-use-after-free"" for that resource."
CVE-2022-3071,CWE-366,"(Chains: CWE-366->CWE-416) https://crbug.com/1333995 stack trace shows one thread free memory and other thread crash with ""AddressSanitizer: heap-use-after-free"" referencing that memory."
CVE-2022-3071,CWE-416,"(Chains: CWE-366->CWE-416) https://crbug.com/1333995 stack trace shows one thread free memory and other thread crash with ""AddressSanitizer: heap-use-after-free"" referencing that memory."
CVE-2022-43762,CWE-20,"(Chains: CWE-20->CWE-119) Ref mentions ""caused by insufficient input validation"". Desc mentions ""memory leaks"" and maps to CWE-119, so this is assumed to be ""read of unintended portions of memory"" (CWE-125 or similar) instead of CWE-401."
CVE-2022-43762,CWE-119,"(Chains: CWE-20->CWE-119) Ref mentions ""caused by insufficient input validation"". Desc mentions ""memory leaks"" and maps to CWE-119, so this is assumed to be ""read of unintended portions of memory"" (CWE-125 or similar) instead of CWE-401."
CVE-2022-43945,CWE-416,"Packetstormsecurity ref desc mentions ""stack-based buffer overflow... kernel contained multiple use-after-free vulnerabilities"""
CVE-2022-43945,CWE-121,"Packetstormsecurity ref desc mentions ""stack-based buffer overflow... kernel contained multiple use-after-free vulnerabilities"""
CVE-2022-4498,CWE-122,"Desc mentions ""heap overflow"". https://kb.cert.org/vuls/id/572615 -- ""heap overflow"". However, vendor maps to CWE-120."
CVE-2022-24988,CWE-193,"(Chains: CWE-193->CWE-787) ref: ""no longer writes one byte past its allocated vec"". Desc says ""off-by-one buffer overflow""."
CVE-2022-24988,CWE-787,"(Chains: CWE-193->CWE-787) ref: ""no longer writes one byte past its allocated vec"". Desc says ""off-by-one buffer overflow""."
CVE-2022-34169,CWE-197,"""integer truncation issue"""
CVE-2022-41916,CWE-193,"(Chains: CWE-193->CWE-126) GHSA ref says ""Read one byte past a buffer"". NVD Contributor maps to CWE-193."
CVE-2022-41916,CWE-126,"(Chains: CWE-193->CWE-126) GHSA ref says ""Read one byte past a buffer"". NVD Contributor maps to CWE-193."
CVE-2021-1359,CWE-112,"""This vulnerability is due to insufficient validation of user-supplied XML input for the web interface"""
CVE-2021-1594,CWE-20,"(Chains: CWE-20->CWE-78) ""command injection...run commands... on the underlying operating system"". Research: ""This vulnerability is due to insufficient input validation for specific API endpoints"", which may be applicable to CWE-1286."
CVE-2021-1594,CWE-78,"(Chains: CWE-20->CWE-78) ""command injection...run commands... on the underlying operating system"". Research: ""This vulnerability is due to insufficient input validation for specific API endpoints"", which may be applicable to CWE-1286."
CVE-2021-1594,CWE-RESEARCH,"(Chains: CWE-20->CWE-78) ""command injection...run commands... on the underlying operating system"". Research: ""This vulnerability is due to insufficient input validation for specific API endpoints"", which may be applicable to CWE-1286."
CVE-2021-20543,CWE-79,"""is vulnerable to HTML injection"""
CVE-2021-21366,CWE-115,"GHSA ref. maps to CWE-115 and states, ""Misinterpretation of malicious XML input"". Research: ""do not correctly preserve system identifiers... unexpected syntactic changes"" could use more study."
CVE-2021-21366,CWE-RESEARCH,"GHSA ref. maps to CWE-115 and states, ""Misinterpretation of malicious XML input"". Research: ""do not correctly preserve system identifiers... unexpected syntactic changes"" could use more study."
CVE-2021-21445,CWE-444,"(Chains: CWE-444->CWE-79) ""allows an authenticated attacker to include invalidated data in the HTTP response Content Type header, due to improper input validation, and sent to a Web user...may lead to advanced attacks, including cross-site scripting and page hijacking"""
CVE-2021-21445,CWE-79,"(Chains: CWE-444->CWE-79) ""allows an authenticated attacker to include invalidated data in the HTTP response Content Type header, due to improper input validation, and sent to a Web user...may lead to advanced attacks, including cross-site scripting and page hijacking"""
CVE-2021-23277,CWE-95,"""vulnerable to unauthenticated eval injection vulnerability"""
CVE-2021-24410,CWE-352,"(Chains: CWE-352->CWE-79) ""lacking any CSRF check when saving its settings and verses, and do not sanitise or escape them when outputting them back in the page...leading to Stored XSS issues"""
CVE-2021-24410,CWE-79,"(Chains: CWE-352->CWE-79) ""lacking any CSRF check when saving its settings and verses, and do not sanitise or escape them when outputting them back in the page...leading to Stored XSS issues"""
CVE-2021-25326,CWE-352,"http://packetstormsecurity.com/files/162455/Shenzhen-Skyworth-RN510-Information-Disclosure.html -- Ref. states, ""An Authentiated attacker need to run set the cross site scripting payload..[Vulnerability Type] CSRF, XSS""."
CVE-2021-25326,CWE-79,"http://packetstormsecurity.com/files/162455/Shenzhen-Skyworth-RN510-Information-Disclosure.html -- Ref. states, ""An Authentiated attacker need to run set the cross site scripting payload..[Vulnerability Type] CSRF, XSS""."
CVE-2021-26634,CWE-89,"""SQL injection and file upload attacks are possible due to insufficient validation of input values in some parameters and variables of files"""
CVE-2021-26634,CWE-434,"""SQL injection and file upload attacks are possible due to insufficient validation of input values in some parameters and variables of files"""
CVE-2021-29854,CWE-20,"(Chains: CWE-20->CWE-79, CWE-20->CWE-384) ""vulnerable to HTTP header injection, caused by improper validation of input by the HOST headers...including cross-site scripting, cache poisoning or session hijacking"""
CVE-2021-29854,CWE-79,"(Chains: CWE-20->CWE-79, CWE-20->CWE-384) ""vulnerable to HTTP header injection, caused by improper validation of input by the HOST headers...including cross-site scripting, cache poisoning or session hijacking"""
CVE-2021-29854,CWE-384,"(Chains: CWE-20->CWE-79, CWE-20->CWE-384) ""vulnerable to HTTP header injection, caused by improper validation of input by the HOST headers...including cross-site scripting, cache poisoning or session hijacking"""
CVE-2021-31249,CWE-93,"""A CRLF injection vulnerability was found"""
CVE-2021-31573,CWE-77,"""there is a possible command injection due to improper input validation"". In this context input refers to commands, so CWE-77 is better."
CVE-2021-31574,CWE-77,"""there is a possible command injection due to improper input validation"". In this context input refers to commands, so CWE-77 is better."
CVE-2021-31575,CWE-77,"""there is a possible command injection due to improper input validation"". In this context input refers to commands, so CWE-77 is better."
CVE-2021-31676,CWE-79,"""A reflected XSS"""
CVE-2021-33604,CWE-177,"""URL encoding error in development mode handler in com.vaadin:flow-server"""
CVE-2021-33621,CWE-113,"""allows HTTP response splitting"""
CVE-2021-35095,CWE-502,"(Chains: CWE-502->CWE-362) ""Improper serialization of message queue client registration can lead to race condition"""
CVE-2021-35095,CWE-362,"(Chains: CWE-502->CWE-362) ""Improper serialization of message queue client registration can lead to race condition"""
CVE-2021-36667,CWE-78,"""Command injection vulnerability...due to un-sanitized call to the python os.system library"""
CVE-2021-38241,CWE-502,"""Deserialization issue"""
CVE-2021-38997,CWE-20,"(Chains: CWE-20->CWE-79, CWE-20->CWE-384) ""vulnerable to HTTP header injection, caused by improper validation of input by the HOST headers...including cross-site scripting, cache poisoning or session hijacking"""
